Current projects signed as at 31 March 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique HMT Project ID,Project Name,Department,Procuring authority,Sector,Constituency,Region,Project Status,Date Of OJEU,Date of preferred bidder,Date of financial close,Date of construction completion,First date of operations,Operational period of contract (years),On / Off balance sheet under IFRS,On / Off balance sheet under ESA 95,On / Off balance sheet under UK GAAP,Capital Value (£m),Unitary charge payment 1992-93 (£m),Unitary charge payment 1993-94 (£m),Unitary charge payment 1994-95 (£m),Unitary charge payment 1995-96 (£m),Unitary charge payment 1996-97 (£m),Unitary charge payment 1997-98 (£m),Unitary charge payment 1998-99 (£m),Unitary charge payment 1999-00 (£m),Unitary charge payment 2000-01 (£m),Unitary charge payment 2001-02 (£m),Unitary charge payment 2002-03 (£m),Unitary charge payment 2003-04 (£m),Unitary charge payment 2004-05 (£m),Unitary charge payment 2005-06 (£m),Unitary charge payment 2006-07 (£m),Unitary charge payment 2007-08 (£m),Unitary charge payment 2008-09 (£m),Unitary charge payment 2009-10 (£m),Unitary charge payment 2010-11 (£m),Unitary charge payment 2011-12 (£m),Unitary charge payment 2012-13 (£m),Estimated unitary charge payment 2013-14 (£m),Estimated unitary charge payment 2014-15 (£m),Estimated unitary charge payment 2015-16 (£m),Estimated unitary charge payment 2016-17 (£m),Estimated unitary charge payment 2017-18 (£m),Estimated unitary charge payment 2018-19 (£m),Estimated unitary charge payment 2019-20 (£m),Estimated unitary charge payment 2020-21 (£m),Estimated unitary charge payment 2021-22 (£m),Estimated unitary charge payment 2022-23 (£m),Estimated unitary charge payment 2023-24 (£m),Estimated unitary charge payment 2024-25 (£m),Estimated unitary charge payment 2025-26 (£m),Estimated unitary charge payment 2026-27 (£m),Estimated unitary charge payment 2027-28 (£m),Estimated unitary charge payment 2028-29 (£m),Estimated unitary charge payment 2029-30 (£m),Estimated unitary charge payment 2030-31 (£m),Estimated unitary charge payment 2031-32 (£m),Estimated unitary charge payment 2032-33 (£m),Estimated unitary charge payment 2033-34 (£m),Estimated unitary charge payment 2034-35 (£m),Estimated unitary charge payment 2035-36 (£m),Estimated unitary charge payment 2036-37 (£m),Estimated unitary charge payment 2037-38 (£m),Estimated unitary charge payment 2038-39 (£m),Estimated unitary charge payment 2039-40 (£m),Estimated unitary charge payment 2040-41 (£m),Estimated unitary charge payment 2041-42 (£m),Estimated unitary charge payment 2042-43 (£m),Estimated unitary charge payment 2043-44 (£m),Estimated unitary charge payment 2044-45 (£m),Estimated unitary charge payment 2045-46 (£m),Estimated unitary charge payment 2046-47 (£m),Estimated unitary charge payment 2047-48 (£m),Estimated unitary charge payment 2048-49 (£m),Estimated unitary charge payment 2049-50 (£m),Estimated unitary charge payment 2050-51 (£m),Estimated unitary charge payment 2051-52 (£m),Estimated unitary charge payment 2052-53 (£m),Estimated unitary charge payment 2053-54 (£m),Estimated unitary charge payment 2054-55 (£m),Estimated unitary charge payment 2055-56 (£m),Estimated unitary charge payment 2056-57 (£m),Estimated unitary charge payment 2057-58 (£m),Estimated unitary charge payment 2058-59 (£m),Estimated unitary charge payment 2059-60 (£m),Equity holder 1: Name,Equity holder 1: Equity share (%),"Equity holder 1: change of ownership since March 2011? 
(Yes / No)",Equity holder 2: Name,Equity holder 2: Equity share (%),"Equity holder 2: change of ownership since March 2011? 
(Yes / No)",Equity holder 3: Name,Equity holder 3: Equity share (%),"Equity holder 3: change of ownership since March 2011? 
(Yes / No)",Equity holder 4: Name,Equity holder 4: Equity share (%),"Equity holder 4: change of ownership since March 2011? 
(Yes / No)",Equity holder 5: Name,Equity holder 5: Equity share (%),"Equity holder 5: change of ownership since March 2011? 
(Yes / No)",Equity holder 6: Name,Equity holder 6: Equity share (%),"Equity holder 6: change of ownership since March 2011? 
(Yes / No)",SPV name,SPV company number,SPV address
33,Bridlington Schools,DEPARTMENT FOR EDUCATION (GROUP),East Riding of Yorkshire,Schools (Non-BSF),,ENGLAND_Yorkshire and the Humber,InOperation,1999-01-01,N/K,2000-12-20,2003-04-28,2003-04-29,31,ON,N/K,OFF,26.0,,,,,,,,,,,,3.4,3.9,3.9,4.2,4.1,4.6,4.4,4.5,4.9,4.9,5.0,5.1,5.2,5.3,5.4,5.4,5.6,5.7,5.8,,6.0,6.2,6.3,6.4,6.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semperian PPP Investment Partners GP,100.0%,NO,,,,,,,,,,,,,,,,Bridlington Schools Services Limited,4000833,"Third Floor, Broad Quay House, prince Street, Bristol BS1 4DJ"
34,Group schools,DEPARTMENT FOR EDUCATION (GROUP),Calderdale,Schools (Non-BSF),More than one,ENGLAND_East,InOperation,2001-08-31,N/K,2003-07-02,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,29,ON,N/K,OFF,53.9,,,,,,,,,,,,,1.7,6.3,7.2,6.9,6.9,6.9,7.0,7.0,7.1,7.1,7.2,7.2,7.3,7.3,7.4,7.4,7.5,7.6,7.6,7.7,7.7,7.8,7.9,7.9,8.0,8.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFI Holdings Partners LP,50.0%,NO,BOUYGUES (U.K.) LIMITED,7.7%,NO,ECOVERT FM LIMITED,7.4%,NO,N/K,35.0%,NO,,,,,,,N/K,N/K,N/K
35,Clacton Secondary Schools,DEPARTMENT FOR EDUCATION (GROUP),Essex,Schools (Non-BSF),,ENGLAND_East,InOperation,2002-01-01,N/K,2003-11-01,2005-05-31,2005-03-20,33,ON,N/K,OFF,65.0,,,,,,,,,,,,0.7,2.0,5.0,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.8,5.8,5.8,5.8,5.9,5.9,5.9,5.9,6.0,6.1,6.2,6.3,6.4,6.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,Innisfree PFI Fund III,80.0%,NO,Wates Group ,20.0%,NO,,,,,,,,,,,,,QED (Clacton) Ltd,4764331,"8 White Oak Square, London Rd, Swanley BR8 7AG"
36,Debden Park High School,DEPARTMENT FOR EDUCATION (GROUP),Essex,Schools (Non-BSF),,ENGLAND_East,InOperation,1997-11-10,N/K,2000-03-31,Data not supplied by Procuring Authority,2000-03-31,31,ON,N/K,OFF,20.0,,,,,,,,,1.9,1.9,1.9,2.0,2.0,2.0,2.1,2.3,2.4,2.4,2.5,2.6,2.6,2.7,2.7,2.8,2.9,3.0,3.0,3.1,3.2,3.3,3.3,3.4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semperian PPP Investment Partners GP,100.0%,NO,,,,,,,,,,,,,,,,Semperian Asset Management via Debden Schools Service,3924110,"St Martin's House, No 1 Gresham St, London, EC2V 7BX"
37,Gateshead Schools PFI Project,DEPARTMENT FOR EDUCATION (GROUP),Gateshead,Schools (Non-BSF),,ENGLAND_North East,InOperation,2004-05-07,N/K,2006-02-23,2008-08-04,2007-04-13,33,ON,N/K,OFF,64.2,,,,,,,,,,,,,,,,4.5,6.9,7.4,7.5,7.5,7.6,7.7,7.7,7.8,7.9,7.9,8.0,8.1,8.1,8.2,8.3,8.4,8.5,8.5,8.6,8.7,8.8,8.9,9.0,9.1,9.2,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Sir Robert McAlpine,100.0%,NO,,,,,,,,,,,,,,,,Pinnacle Schools Gateshead,5430208,"Eaton Court, Maylands Avenue, Hemel Hempstead, Herts HP2 7TR"
38,Grouped secondary schools project,DEPARTMENT FOR EDUCATION (GROUP),Haringey,Schools (Non-BSF),More than one,ENGLAND_London,InOperation,1998-09-10,N/K,2000-10-02,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,26,ON,N/K,OFF,40.0,,,,,,,,,3.8,4.0,5.4,9.7,10.2,10.6,10.9,11.1,11.4,11.7,12.0,12.3,12.6,12.9,13.2,13.6,13.9,14.3,14.6,15.0,15.4,15.7,16.1,16.5,16.9,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semperian PPP Investment Partners GP,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
39,Special Schools PFI,DEPARTMENT FOR EDUCATION (GROUP),Harrow,Schools (Non-BSF),Harrow East,ENGLAND_London,InOperation,2002-02-01,N/K,2003-09-02,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,31,ON,N/K,OFF,70.1,,,,,,,,,,,,0.8,0.5,1.5,2.1,2.1,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.8,2.9,2.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,DIF Infrastructure II UK Limited,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
40,Whitecross School PFI,DEPARTMENT FOR EDUCATION (GROUP),Herefordshire,Schools (Non-BSF),,ENGLAND_West Midlands,InOperation,2002-10-01,N/K,2005-01-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,31,ON,N/K,OFF,,,,,,,,,,,,,,,,2.6,2.6,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.9,2.9,2.9,3.0,3.0,3.0,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stepnell Limited,10.0%,NO,Barclays Private Equity,90.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
41,Six Grouped schools PFI,DEPARTMENT FOR EDUCATION (GROUP),Kent,Schools (Non-BSF),,ENGLAND_South East,InOperation,2003-11-18,N/K,2005-10-07,2008-09-03,2006-10-31,34,ON,N/K,OFF,92.0,,,,,,,,,,,,,,,1.3,8.5,10.9,11.0,11.1,11.3,11.4,11.5,11.7,11.8,11.9,12.1,12.2,12.4,12.6,12.7,12.9,13.1,13.2,13.4,13.6,13.8,14.0,14.2,14.4,14.7,14.9,15.1,15.1,15.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,Bilfinger Berger Pi ,50.0%,NO,Infrastructure Investment Holdings Limited (50%)  ,50.0%,NO,,,,,,,,,,,,,Kent Education Partnership,5480731,Bilfinger Berger Project Investments Limited 3rd floor Braywick Road Maidenhead Berks SL6 1DA
42,BSF wave 3,DEPARTMENT FOR EDUCATION (GROUP),Kent,Schools (BSF),Gravesham,ENGLAND_South East,InOperation,2005-06-01,2006-12-01,2008-10-24,2012-04-01,2010-07-14,30,ON,N/K,OFF,84.0,,,,,,,,,,,,,,,,,,,5.9,9.0,9.0,9.1,9.2,9.3,9.4,9.5,9.5,9.6,9.7,9.8,9.9,10.0,10.1,10.2,10.4,10.5,10.6,10.7,10.8,10.9,11.1,11.2,11.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,Keir,80.0%,NO,Kent County Council,10.0%,NO,Amber Infrastructure,10.0%,NO,,,,,,,,,,Kier Project Investments,6523340,Kent PFI Company Ltd Tempsford Hall Sany Beds SG19 2BD
43,Swanscombe PFI,DEPARTMENT FOR EDUCATION (GROUP),Kent,Schools (Non-BSF),,ENGLAND_South East,InOperation,1999-04-07,N/K,2001-05-24,2002-10-01,2002-10-02,35,ON,N/K,OFF,12.0,,,,,,,,,,,0.9,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.5,2.6,2.7,2.7,2.8,2.9,3.0,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Innisfree Limited ,100.0%,NO,,,,,,,,,,,,,,,,NewSchools Swanscombe Limted,4167465,NewSchools Swanscombe Ltd 8 White Oak Square London Road Swanley BR8 7AG
44,Victoria Dock Primary School,DEPARTMENT FOR EDUCATION (GROUP),Hull,Schools (Non-BSF),,ENGLAND_Yorkshire and the Humber,InOperation,1997-03-01,N/K,1998-07-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,38,ON,N/K,OFF,3.9,,,,,,,0.3,0.3,0.4,0.4,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sewells ,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
45,Kirklees Grouped Schools PPP,DEPARTMENT FOR EDUCATION (GROUP),Kirklees,Schools (Non-BSF),,ENGLAND_Yorkshire and the Humber,InOperation,1999-03-01,N/K,2001-03-30,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,32,ON,N/K,OFF,58.7,,,,,,,,,,,3.6,7.3,9.1,9.6,9.8,10.0,10.2,10.3,10.4,10.6,10.7,10.9,11.0,11.2,11.3,11.5,11.7,11.8,12.0,12.2,12.4,12.6,12.8,13.0,13.2,13.4,13.6,13.8,14.0,14.2,14.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Semperian PPP Investment Partners GP,90.0%,NO,KIRKLEES COUNCIL ,10.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
46,Special Schools PPP,DEPARTMENT FOR EDUCATION (GROUP),Kirklees,Schools (Non-BSF),,ENGLAND_Yorkshire and the Humber,InOperation,2002-04-11,N/K,2005-03-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,34,ON,N/K,OFF,23.6,,,,,,,,,,,,,,,1.7,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grosvenor House Group PLC,86.0%,YES, Kirklees Council,14.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
47,"BSF Wave 1, Phase 1 and 2",DEPARTMENT FOR EDUCATION (GROUP),Knowsley,Schools (BSF),More than one,ENGLAND_North West,InOperation,2005-04-01,2006-02-22,2007-12-13,2013-03-01,2009-12-01,33,ON,N/K,OFF,180.5,,,,,,,,,,,,,,,,,0.7,12.6,19.9,20.1,21.6,22.7,22.8,23.0,23.2,23.4,23.6,23.8,24.0,24.2,24.4,24.6,24.8,25.0,25.3,25.5,25.7,26.0,26.2,26.5,26.8,27.0,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,Balfour Beatty Infrastructure Investments Ltd,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
48,"Leeds BSF Wave 1, Phase 2",DEPARTMENT FOR EDUCATION (GROUP),Leeds,Schools (BSF),More than one,ENGLAND_Yorkshire and the Humber,InOperation,2005-07-21,N/K,2008-03-13,2009-08-31,2008-08-28,29,ON,OFF,OFF,36.0,,,,,,,,,,,,,,,,,,1.8,3.8,3.8,3.8,3.9,3.9,4.0,4.0,4.1,4.1,4.1,4.2,4.2,4.3,4.3,4.4,4.5,4.5,4.6,4.6,4.7,4.7,4.8,4.9,4.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,Amber Infrastructure,18.0%,YES,Environments for Learning,72.0%,YES,LEEDS LEP Ltd,10.0%,YES,,,,,,,,,,Leeds PFI Two Ltd,6504240,"Interserve House, Ruscombe Park, Twyford,"
49,"BSF Wave1, Phase 1",DEPARTMENT FOR EDUCATION (GROUP),Lancashire,Schools (BSF),More than one,ENGLAND_North West,InOperation,2005-04-01,2006-02-22,2006-12-15,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,27,ON,N/K,OFF,80.8,,,,,,,,,,,,,,,,,5.5,9.6,9.7,10.0,10.1,10.2,10.3,10.4,10.6,10.7,10.8,11.0,11.1,11.2,11.4,11.5,11.7,11.8,12.0,12.2,12.3,12.5,12.7,12.8,13.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Bovis,40.0%,NO,Halifax Bank of Scotland,40.0%,NO,Lancashire County Council,1.0%,NO,Amber Infrastructure,19.0%,NO,,,,,,,N/K,N/K,N/K
50,Fleetwood High School PFI Scheme,DEPARTMENT FOR EDUCATION (GROUP),Lancashire,Schools (Non-BSF),Lancaster and Fleetwood,ENGLAND_North West,InOperation,1999-04-01,N/K,2001-03-31,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,33,ON,N/K,OFF,13.4,,,,,,,,,,,0.9,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2.0,2.0,2.0,2.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric Wright Group Ltd,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
51,Leeds BSF Wave 1 - Phase 1,DEPARTMENT FOR EDUCATION (GROUP),Leeds,Schools (BSF),More than one,ENGLAND_Yorkshire and the Humber,InOperation,2005-07-21,N/K,2007-04-03,2009-08-31,2009-09-01,27,ON,OFF,OFF,100.0,,,,,,,,,,,,,,,,,,7.3,12.9,13.0,13.2,13.3,13.5,13.6,13.8,13.9,14.1,14.3,14.4,14.6,14.8,15.0,15.2,15.3,15.5,15.7,16.0,16.2,16.4,16.6,16.8,17.1,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,Amber Infrastructure,18.0%,YES,Environments for Learning,72.0%,YES,LEEDS LEP Ltd,10.0%,YES,,,,,,,,,,Leeds PFI One Ltd,06145196,"Interserve House, Ruscombe Park, Twyford,"
52,"BSF Wave 1, Phase 2",DEPARTMENT FOR EDUCATION (GROUP),Lancashire,Schools (BSF),Burnley,ENGLAND_North West,InOperation,2005-04-01,2006-02-22,2007-12-14,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,33,ON,N/K,OFF,39.3,,,,,,,,,,,,,,,,,,2.7,4.7,4.8,4.8,4.9,4.9,5.0,5.0,5.1,5.1,5.2,5.3,5.3,5.4,5.4,5.5,5.6,5.6,5.7,5.8,5.9,5.9,6.0,6.1,6.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,Bovis,40.0%,NO,Halifax Bank of Scotland,40.0%,NO,Lancashire County Council,1.0%,NO,Amber Infrastructure,19.0%,NO,,,,,,,N/K,N/K,N/K
53,Leeds Cardinal Heenan High School,DEPARTMENT FOR EDUCATION (GROUP),Leeds,Schools (Non-BSF),Leeds North East,ENGLAND_Yorkshire and the Humber,InOperation,1997-05-01,N/K,1999-06-04,2001-08-31,2001-09-01,34,ON,OFF,OFF,9.0,,,,,,,,,,0.4,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnson Workplace Management Group,100.0%,NO,,,,,,,,,,,,,,,,Cardinal Heenan School Services Ltd,3733373,"Forgmore House, Watton at Stone, Hereford, SG14 3RU"
54,Leeds 1 (7) Schools,DEPARTMENT FOR EDUCATION (GROUP),Leeds,Schools (Non-BSF),More than one,ENGLAND_Yorkshire and the Humber,InOperation,1999-03-02,N/K,2001-10-31,2003-08-31,2003-09-01,32,ON,OFF,OFF,45.0,,,,,,,,,,,,2.2,5.0,5.8,5.8,5.9,6.0,6.1,6.2,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0,7.1,7.2,7.3,7.4,7.5,7.6,7.8,7.9,8.0,8.1,8.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Education Support Company Holdings (Leeds) Ltd,50.0%,NO,Uberior Infrastructure Investments (No3) Limited ,50.0%,NO,,,,,,,,,,,,,The Education Support Co,4190375,"White Lion Court, Swan Street, Isleworth, Middlesex TW7 6RN"
55,Leeds 2 (10) Primary Schools ,DEPARTMENT FOR EDUCATION (GROUP),Leeds,Schools (Non-BSF),More than one,ENGLAND_Yorkshire and the Humber,InOperation,2002-11-01,N/K,2004-04-22,2005-09-01,2005-04-01,32,ON,OFF,OFF,32.0,,,,,,,,,,,,,,2.4,3.0,4.9,4.9,5.0,5.0,5.1,5.2,5.2,5.3,5.3,5.4,5.4,5.5,5.6,5.6,5.7,5.8,5.8,5.9,6.0,6.0,6.1,6.2,6.3,6.4,6.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,WATES PFI INVESTMENTS (QED) LIMITED,20.0%,NO,INNISFREE NOMINEES LIMITED ,80.0%,NO,,,,,,,,,,,,,QED (Leeds) Ltd,4999941,"18 Wealdon Place, Bradbourne Vale Road, Sevenoaks, Kent, TN13 3QQ"
56,Leeds 3 & 4 Secondary and Post 16,DEPARTMENT FOR EDUCATION (GROUP),Leeds,Schools (Non-BSF),More than one,ENGLAND_Yorkshire and the Humber,InOperation,2003-12-17,N/K,2005-04-07,2006-09-01,2007-08-31,32,ON,OFF,OFF,103.0,,,,,,,,,,,,,,,,4.8,11.4,13.9,14.0,14.1,14.2,14.3,14.5,14.6,14.7,14.8,15.0,15.1,15.2,15.4,15.5,15.7,15.8,16.0,16.1,16.3,16.5,16.6,16.8,17.0,17.2,17.4,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,IIC Projects Ltd,100.0%,NO,,,,,,,,,,,,,,,,Investors in the Community (Leeds Schools) Ltd,5338686,"c10 Mill Group Limited, 6-8 Old Bond"
57,"BSF Wave 1, Phase 1",DEPARTMENT FOR EDUCATION (GROUP),Lewisham,Schools (BSF),More than one,ENGLAND_London,InOperation,2005-04-22,N/K,2007-12-13,Data not supplied by Procuring Authority,2009-01-01,30,ON,N/K,OFF,,,,,,,,,,,,,,,,,,1.5,7.1,7.9,8.0,8.5,8.4,8.5,8.6,8.7,8.8,8.8,8.9,9.0,9.2,9.3,9.4,9.5,9.6,9.8,9.9,10.0,10.2,10.3,10.4,10.6,10.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,Amber Infrastructure,10.0%,YES,Costain,40.0%,NO,VT,40.0%,NO,London Borough of Lewisham,10.0%,NO,,,,,,,N/K,N/K,N/K
58,Lincolnshire Schools Grouped PFI Scheme,DEPARTMENT FOR EDUCATION (GROUP),Lincolnshire,Schools (Non-BSF),More than one,ENGLAND_East,InOperation,2000-05-01,N/K,2001-09-27,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,33,ON,N/K,OFF,27.6,,,,,,,,,,,0.6,2.2,2.7,2.9,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.2,3.3,3.3,3.3,3.2,3.3,3.3,3.4,3.5,3.5,3.5,3.4,3.3,3.3,3.4,3.4,3.4,2.6,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lend Lease UK Infrastructure fund LP,50.0%,NO,Halifax Bank of Scotland,50.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
59,Group Schools,DEPARTMENT FOR EDUCATION (GROUP),Liverpool,Schools (Non-BSF),More than one,ENGLAND_North West,InOperation,1999-05-01,N/K,2001-09-28,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,34,ON,N/K,OFF,,,,,,,,,,,1.9,5.0,9.6,11.3,11.5,11.0,12.2,12.3,12.3,12.2,12.0,12.8,12.9,12.9,12.9,12.9,13.0,13.0,13.1,13.2,13.3,13.4,13.5,13.7,13.8,14.0,14.2,14.4,14.6,14.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semperian PPP Investment Partners GP,49.0%,NO,G4S plc,51.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
60,Liverpool - Speke/Garston Lifelong Learning Centre,DEPARTMENT FOR EDUCATION (GROUP),Liverpool,Schools (Non-BSF),Garston and Halewood,ENGLAND_North West,InOperation,1999-01-01,N/K,2001-04-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,31,ON,N/K,OFF,,,,,,,,,,,,1.8,3.5,3.6,3.7,3.8,3.8,3.9,3.9,4.0,4.0,4.2,4.2,4.3,4.3,4.4,4.5,4.5,4.6,4.7,4.7,4.8,4.9,5.0,5.0,5.1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equity Solutions (Manchester) Ltd,80.5%,NO,Amey Vectra Ltd for Speke PFI,19.5%,NO,,,,,,,,,,,,,N/K,N/K,N/K
61,Bexley Three Schools Project,DEPARTMENT FOR EDUCATION (GROUP),Bexley,Schools (Non-BSF),More than one,ENGLAND_London,InOperation,2002-03-30,N/K,2004-03-31,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,31,ON,N/K,OFF,35.1,,,,,,,,,,,,,,3.1,5.0,5.1,5.1,5.2,5.3,5.6,5.7,5.8,5.9,6.0,6.1,6.2,6.3,6.5,6.6,6.7,6.8,6.9,7.0,7.2,7.3,7.4,7.5,7.7,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIC Projects Limited,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
62,Jews Free School,DEPARTMENT FOR EDUCATION (GROUP),Brent,Schools (Non-BSF),Brent North,ENGLAND_London,InOperation,1999-08-01,N/K,2002-01-24,2002-08-31,2002-09-01,25,OFF,N/K,OFF,33.0,,,,,,,,,,,2.3,3.6,3.6,3.7,3.8,3.9,4.0,4.0,4.1,4.3,4.4,4.5,4.6,4.7,4.9,5.0,5.1,5.2,5.4,5.5,5.6,5.8,5.9,6.1,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semperian PPP Investment Partners GP,100.0%,NO,,,,,,,,,,,,,,,,Kenton School Services Ltd.,Registered No. 3808875 VAT Registration No. 766 4398 82,"Registered Office: St Martin's House, No. 1 Gresham Street, London EC2V 7BX"
63,Haverstock School PFI,DEPARTMENT FOR EDUCATION (GROUP),Camden,Schools (Non-BSF),Holborn and St. Pancras,ENGLAND_London,InOperation,2002-04-30,N/K,2003-10-22,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,28,ON,N/K,OFF,20.9,,,,,,,,,,,,0.1,0.8,2.0,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kajima Partnership Limited,50.0%,NO,HSBC Infrastructure Company Limited ,50.0%,NO,,,,,,,,,,,,,N/K,N/K,N/K
64,Ashburton Learning Village,DEPARTMENT FOR EDUCATION (GROUP),Croydon,Schools (Non-BSF),Croydon Central,ENGLAND_London,InOperation,2002-02-15,N/K,2004-05-01,Data not supplied by Procuring Authority,Data not supplied by Procuring Authority,34,ON,N/K,OFF,24.0,,,,,,,,,,,,,,,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.8,2.9,2.9,3.0,3.0,3.0,3.1,3.1,3.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,Barclays Private Equity,100.0%,NO,,,,,,,,,,,,,,,,N/K,N/K,N/K
