1,12/06/1998,Serco Group plc,"Defence Helicopter Flying School (FBS Limited, operational contract – 47 helicopters and site services)",1,01/12/1996,FR Aviation Ltd and Bristow Helicopter Group,33,3.4 plus net liabilities ,4.6,1.58,179.3,Serco AR 1998 p39,Serco Press 12/06/1998,
230,30/11/2010,John Laing (Henderson Global Investors),Canning Town Social Housing,,03/06/2005,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,100,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
231,01/12/2010,Amey plc,Birmingham Highways Holdings PFI (Amey Birmingham Highways Holdings Ltd),1,06/05/2010,Equitix Ltd (Amey and Uberior – Lloyds – each have 33.3),33.3,n/a,n/a,n/a,n/a,"Amey AR 2010 p17, 24",Equitix News Dec 2010,
232,10/12/2010,Lend Lease Corporation,Newcastle Group Schools,14,28/03/2002,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),varied,75 (plus defer of 30),12,n/a,n/a,Lend Lease News 10/12/2010,,
232,10/12/2010,Lend Lease Corporation,Lincolnshire Group Schools,,30/09/2001,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,Lend Lease News 10/12/2010,,
232,10/12/2010,Lend Lease Corporation,"Lillian Baylis School, LBC Lambeth",,01/03/2003,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,Lend Lease News 10/12/2010,,
232,10/12/2010,Lend Lease Corporation,Lancashire BSF Schools 1,,15/12/2006,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,Lend Lease AR 2011 p12 and 22,,
232,10/12/2010,Lend Lease Corporation,Lancashire BSF Schools 2 ,,14/12/2007,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,"Consolidated Investment Holdings Limited, Accounts 2011",,
232,10/12/2010,Lend Lease Corporation,Lancashire BSF Schools 2a,,04/07/2008,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,"Consolidated Investment Holdings Limited, Accounts 2011",,
232,10/12/2010,Lend Lease Corporation,Lancashire BSF Schools 3,,04/06/2009,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,"Consolidated Investment Holdings Limited, Accounts 2011",,
232,10/12/2010,Lend Lease Corporation,Calderdale Royal Hospital,,31/07/1998,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,"Consolidated Investment Holdings Limited, Accounts 2011",,
232,10/12/2010,Lend Lease Corporation,Worcester Acute Hospital ,,22/03/1999,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,PGGM News10/12/2010,,
232,10/12/2010,Lend Lease Corporation,Hexham General Hospital 1-3,,27/04/2001,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,PGGM News10/12/2010,,
232,10/12/2010,Lend Lease Corporation,"Burnley Hospital, East Lancashire Hospitals NHS Trust",,13/10/2003,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,PGGM News10/12/2010,,
232,10/12/2010,Lend Lease Corporation,"St James University Hospital, Leeds",,15/10/2004,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,PGGM News10/12/2010,,
232,10/12/2010,Lend Lease Corporation,Treasury Accommodation 1,,01/05/2000,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,PGGM News10/12/2010,,
232,10/12/2010,Lend Lease Corporation,Treasury Accommodation 2,,15/01/2003,Lend Lease Infrastructure Fund joint venture with PGGM Vermogensbeheer BV (Dutch pension administrator),n/a,see above,see above,n/a,n/a,PGGM News10/12/2010,,
233,16/12/2010,Bilfinger Berger,M80 Motorway (Phase 1 - Stepps to Haggs) ,2,16/01/2009,HICL Infrastructure Company,41.6,65.9 (includes two assets in Canada),18,n/a,n/a,HICL RNS 16/12/2010,,
233,16/12/2010,Bilfinger Berger,Kent Grouped Schools (Kent Education Partnership Ltd),,09/10/2005,HICL Infrastructure Company,50,see above,see above,n/a,n/a,Bilfinger Berger Press 07/10/2010 and Preliminary Report 2010,,
234,21/12/2010,Carillion plc,Allenby Connaught PPP (Aspire Defence Holdings Ltd),1,06/04/2006,Innisfree Ltd,5,14.5,0.5,4.67,0.8,Carillion RNS 21/12/2010,Carillion AR 2011 p93,
235,01/01/2011,Hl Tricomm Holdings (Invista Real Estate Management Holdings plc),"Bristol, Bath & Portsmouth Family Quarters, Ministry of Defence",1,30/11/2001,Grainger plc,100,18.5,n/a,n/a,n/a,Property Week 04/02/2011,,
236,31/03/2011,Amber Infrastructure Group,Liverpool Central Library,1,19/07/2010,International Public Partnerships Ltd,80.1,6.2,n/a,0.67,n/a,INPP News 31/03/2011,,
237,13/05/2011,Amber Infrastructure Group ,"South Bristol Community Hospital LIFT, Goscote Palliative Care Centre LIFT, Harrow Neighbourhood Resource Centres LIFT plus additional equity in five existing NHS LIFT projects",8,n/a,International Public Partnerships Ltd,n/a,4.4,n/a,n/a,n/a,INPP News 13/05/2011,,
238,20/05/2011,Dexia Credit Local,Sheffield Schools Phase 3,1,29/04/2005,HICL Infrastructure (75%) and Kajima Partnerships (25%),37.5,8,n/a,6.08,n/a,Construction Index 23/05/2011. ,Kajima News 20/05/2011,HICL AR 2012 p17
239,20/05/2011,Kier Group plc,Norwich Area Schools ,2,20/03/2006,Joint venture between HICL Infrastructure (75%) and Kajima Partnerships (25%),75,3.8,4.3,6.08,14.4,Kier RNS 23/05/2011 ,HICL AR 2012 p17,
239,20/05/2011,Kier Group plc,Oldham Secondary Schools,,17/05/2004,Joint venture between HICL Infrastructure (75%) and Kajima Partnerships (25%),75,5.4,see above,see above,see above,Construction Index 23/05/2011,Kajima News 20/05/2011,
240,02/06/2011,Kajima Partnerships Ltd,Brentwood Community Hospital,1,29/06/2006,HICL Infrastructure Company,75,4.6,n/a,5,n/a,HICL RNS 02/06/2011,,
241,13/06/2011,Telereal Trillium,Oldham Street Lighting PFI,2,20/04/2011,Equitix Ltd,50,n/a,n/a,n/a,n/a,Equitix News 13/06/2011,,
241,14/06/2011,Telereal Trillium,Rochdale Street Lighting PFI,,21/04/2011,Equitix Ltd,see above,see above,see above,see above,see above,see above,,
242,15/06/2011,Lloyds Bank ,South Ayrshire Schools,1,18/12/2006,HICL Infrastructure Company,n/a,8.2,n/a,4.42,n/a,Construction Index 15/06/2011,,
243,21/06/2011,Kier Group plc,Sheffield Schools Phase 3 (Academy Services (Sheffield) Holdings Ltd,1,29/04/2005,Kier Group Pension Scheme,50,4.5,2.1,6.17,14.2,"Kier AR 2010 p25, 84, 98 ",Construction Enquirer 21/06/2011,
244,27/06/2011,Serco Group plc,Medium Support helicopter Training Facility,1,01/10/1997,HICL Infrastructure Company,n/a,n/a,n/a,13.67,n/a,HICL RNS 27/06/2011,,
245,27/06/2011,Royal Bank of Scotland,"Pontefract and Pinderfield Hospital, ",3,28/06/2007,HICL Infrastructure Company,"50.0, ",32.8,n/a,n/a,n/a,HICL RNS 27/06/2011,,
245,27/06/2011,Royal Bank of Scotland,Oxford John Ratcliffe Hospital  ,,13/12/2005,HICL Infrastructure Company,10.1,see above,n/a,n/a,n/a,HICL RNS 27/06/2011,,
245,27/06/2011,Royal Bank of Scotland,Queen Alexandra Hospital,,15/12/2005,HICL Infrastructure Company,10.1,see above,n/a,n/a,n/a,HICL RNS 27/06/2011,,
246,01/07/2011,Carillion plc,"A249 Stockbury to Sheerness, Kent",1,19/02/2004,Barclays European Infrastructure,50,10.6,5.4,7.33,14.4,Carillion AR 2011 p27,,
247,01/07/2011,Parkwood Holdings,Bristol Leisure Centre (Hengrove),1,01/01/2009,Equitix Ltd,n/a,n/a,0.42,n/a,n/a,Parkwood Holdings AR 2010,,
248,01/07/2011,Balfour Beatty plc,Connect Roads Ltd joint venture which has 100% of Connect A50 Ltd,1,20/05/1996,John Laing (Henderson Global Investors),60,16,14,15.08,46.4,Balfour Beatty Half Year Results 2011,,
249,07/07/2011,Carillion plc,South Ayrshire Schools,1,18/12/2006,HICL Infrastructure Company ,48,14.8,6.1,4.33,16.2,Carillion Interim Report 2011,,
250,07/07/2011,Carillion plc,Three Shires Hospital - Derbyshire Mental Health,3,09/10/2007,Equitix Limited,50,see above,see above,see above,see above,Equitix Ltd New 07/07/2011,,
250,07/07/2011,Carillion plc,Three Shires Hospitals - Leicester Learning Disabilities,,22/06/2007,Equitix Limited,50,see above,see above,see above,see above,Equitix Ltd New 07/07/2011,,
250,07/07/2011,Carillion plc,"Three Shires Hospitals - Lincolnshire, Spalding Community Hospital",,05/05/2007,Equitix Limited,50,see above,see above,see above,see above,Equitix Ltd New 07/07/2011,,
251,01/08/2011,Cyril Sweett Group,South Ayrshire Schools,1,18/12/2006,HICL Infrastructure Company,5,0.8,0.45,4.67,27.5,C.Sweett Prelim Results 04/07/2011,,
252,12/08/2011,Department for Education and Partnerships UK,"Government shareholding in 48 Building Schools for the Future projects (Building Schools for the Future Investments (BSF1) Ltd). Includes Barnsley 1, 2 3, Birmingham, Blackburn 1, 2, Bradford, Bristol, Cambridgeshire, Cumbria, Derbyshire, Durham, Essex, Greenwich, Hackney, Haringey, Herefordshire, Hertfordshire, Islington, Kent, Hull, Knowsley, Lambeth, Lancashire 2, 2A, Leeds, Lewisham, Liverpool, Manchester, Newcastle, Newham, Nottingham, Rochdale, Salford, Sandwell, Sheffield, Solihull, South Tyneside, Southwark, Stoke, Sunderland, Tameside, Telford, Tower Hamlets, Waltham Forest, Wigan, Wolverhampton, ",48,n/a,International Public Partnerships Ltd,10,60,n/a,n/a,n/a,INPP News 12/08/2011,Building Schools for the Future Investments (BSFI) Limited AR 2009 and 2011.,"BBC News: Full list of BSF schools status by local authority, July 2011."
253,01/09/2011,MJ Gleeson Group plc,Social housing PFI projects: AdvantAge (Cheshire) Holdings Ltd.,3,23/11/2007,n/a,33,7.5,0.34,5.58,0.9,Gleeson Interim Management Statement 18/11/2011,,
254,01/09/2011,MJ Gleeson Group plc,"Chrysalis (Stanhope) Holdings Ltd, Ashford, Kent,",,16/04/2007,n/a,33,see above,see above,see above,see above,Gleeson AR June 2011,,
255,01/09/2011,MJ Gleeson Group plc,Grove Village Holdings Ltd - Manchester,,01/03/2003,n/a,49,see above,see above,see above,see above,Gleeson AR June 2011,,
256,26/09/2011,Commonwealth Bank of Australia,"Forth Valley Royal Hospital, Scotland",1,15/05/2007,John Laing Infrastructure Fund,50,22.8,n/a,4.33,n/a,JLIF RNS 26/09/2011,,
257,01/10/2011,John Laing (Henderson Global Investors),"Primary Plus Holdings (previously Excellcare, a joint venture with Bank of Scotland) sold with equity in 6 projects - Greater Nottingham LIFT",6,24/11/2005,Equitix Ltd and Community Solutions,50,n/a,Loss 0.6 (9.3 based on orginal cost),n/a,n/a,John Laing Project Portfolio 01/12/2011,,
257,01/10/2011,John Laing (Henderson Global Investors),"Manchester, Salford and Trafford LIFT",,n/a,Equitix Ltd and Community Solutions,see above,n/a,see above,n/a,n/a,Project Finance Oct 2011,,
257,01/10/2011,John Laing (Henderson Global Investors),Leicester LIFT,,29/09/2006,Equitix Ltd and Community Solutions,see above,n/a,see above,n/a,n/a,Project Finance Oct 2011,,
257,01/10/2011,John Laing (Henderson Global Investors),North Nottingham LIFT,,01/03/2010,Equitix Ltd and Community Solutions,see above,n/a,see above,n/a,n/a,Project Finance Oct 2011,,
257,01/10/2011,John Laing (Henderson Global Investors),Sandwell LIFT,,n/a,Equitix Ltd and Community Solutions,see above,n/a,see above,n/a,n/a,Project Finance Oct 2011,,
257,01/10/2011,John Laing (Henderson Global Investors),Southern Derbyshire LIFT,,n/a,Equitix Ltd and Community Solutions,see above,n/a,see above,n/a,n/a,Project Finance Oct 2011,,
258,04/10/2011,Lend Lease Corporation,Central Manchester University Hospital,3,16/12/2004,Lend Lease UK Infrastructure Fund - 90% owned by PGGM,50,30,n/a,n/a,n/a,Building 04/10/2011,Australian Stock Exchange 04/10/2011,
258,05/10/2011,Lend Lease Corporation,Lancashire Building Schools for the Future Phases 2A,,04/07/2008,Lend Lease UK Infrastructure Fund - 90% owned by PGGM,see above,see above,n/a,n/a,n/a,Building 04/10/2011,Australian Stock Exchange 04/10/2011,
258,07/10/2011,Lend Lease Corporation,Lancashire Building Schools for the Future Phases 3,,08/06/2009,Lend Lease UK Infrastructure Fund - 90% owned by PGGM,see above,see above,n/a,n/a,n/a,Building 04/10/2011,Australian Stock Exchange 04/10/2011,
259,10/11/2011,Balfour Beatty plc,Royal Blackburn Hospital (Consort Healthcare Blackburn (Holdings) Ltd),1,09/07/2003,HICL Infrastructure Company,50,12,6,8.33,12,HICL RNS 10/11/2011,Balfour Beatty Half Year Results 2011,
260,10/11/2011,Kajima Partnerships Ltd,"Sir Robert Hadfield Wing, Northern General Hospital, Sheffield",1,20/12/2004,HICL Infrastructure Company,75,7,n/a,6.92,n/a,HICL RNS 10/11/2011,,
261,01/12/2011,Skanska Infrastructure,Midlothian Primary Schools - PPP2 Project,1,13/07/2006,Barclays Integrated Infrastructure Fund,50,3,1.4,5.42,16.1,Skanska RNS 02/01/2012,Project Finance Dec 2011,Skanska Press 14/07/2006
262,09/12/2011,Wates Group ,"Newham Schools, London ",2,30/04/2001,John Laing Infrastructure Fund,20,1.5,n/a,n/a,n/a,JLIF News 09/12/2011,,
262,10/12/2011,Wates Group ,"Enfield Schools, London",,24/09/2003,John Laing Infrastructure Fund,see above,see above,see above,see above,see above,JLIF News 09/12/2011,,
263,16/12/2011,John Laing (Henderson Global Investors),North Swindon Schools,1,01/04/2005,John Laing Infrastructure Fund,100,10.6,19.1 (47.4 based on original cost),9.35,2.6,JLIF News 16/12/2011,John Laing AR 2011 p26,
264,16/12/2011,John Laing and John Laing Pension Trust Ltd,Edinburgh Schools 1 ,2,15/11/2001,John Laing Infrastructure Fund,20,18.2,see above,see above,see above,JLIF News 11/11/2011,"(data includes additional 20.0% stake in Abbotsford Hospital, Canada)",
264,16/12/2011,John Laing,"Highland School, Enfield, London ",,25/02/1999,John Laing Infrastructure Fund,100,see above,see above,see above,see above,JLIF News 11/11/2011,"(data includes additional 20.0% stake in Abbotsford Hospital, Canada)",
265,16/12/2011,John Laing (Henderson Global Investors),North East Fire & Rescue,1,29/06/2009,John Laing Infrastructure Fund,80.1,4.7,see above,see above,see above,JLIF News 21/11/2011,,
266,16/12/2011,John Laing (Henderson Global Investors),Cleveland Police Headquarters,1,31/03/2005,John Laing Infrastructure Fund,42.5,0.9,see above,see above,see above,JLIF News 23/05/2011,,
267,16/12/2011,John Laing (Henderson Global Investors),M6 motorway in Scotland ,2,01/04/1997,John Laing Infrastructure Fund,11,48.6,see above,see above,see above,JLIF News 08/11/2011,,
267,16/12/2011,John Laing (Henderson Global Investors),London Underground Connect (CityLink),,17/11/1999,John Laing Infrastructure Fund,29.5,see above,see above,see above,see above,JLIF News 08/11/2011,,
268,16/12/2011,John Laing (Henderson Global Investors),"Newham Schools, London ",2,30/03/2001,John Laing Infrastructure Fund,80,6.1,see above,see above,see above,JLIF News 09/11/2011,,
268,16/12/2011,John Laing (Henderson Global Investors),"Enfield Schools, London",,24/09/2003,John Laing Infrastructure Fund,see above,see above,see above,see above,see above,JLIF News 09/11/2011,,
269,13/04/2011,John Laing (Henderson Global Investors),"Bentilee Community Centre, Stoke-on-Trent ",2,24/02/2005,John Laing Infrastructure Fund,100,9,see above,see above,see above,JLIF News 13/04/2011,,
269,13/04/2011,John Laing (Henderson Global Investors),Queen Elizabeth Hospital Greenwich.,,08/07/1998,John Laing Infrastructure Fund,12.5,see above,see above,see above,see above,JLIF News 13/04/2011,,
270,16/12/2011,Kier Group plc,"West Berkshire Hospital, Newbury",1,04/07/2002,Innisfree,50,5,6.8,8.58,61,Kier RNS 16/12/2011,,
271,16/12/2011,Kier Group plc,Hinchingbrooke Hospital,1,01/03/2004,Kier Group Pension Scheme,50,3.1,see above,see above,see above,Kier RNS 16/12/2011,,
272,19/01/2012,United House Group,Camden 1 Housing PFI,3,02/05/2006,John Laing Infrastructure Fund,"50.0, ",30.5,n/a,n/a,n/a,JLIF News 19/01/2012,,
272,19/01/2012,United House Group,Islington 1 Housing PFI ,,31/03/2003,John Laing Infrastructure Fund,45,see above,n/a,n/a,n/a,United House News 19/01/2012,,
272,19/01/2012,United House Group,Islington 2 Housing PFI,,15/09/2006,John Laing Infrastructure Fund,45,see above,n/a,n/a,n/a,United House News 19/01/2012,,
273,26/01/2012,Shepherd Construction,North East Fire and Rescue ,1,29/06/2009,John Laing Infrastructure Fund,20,1.2,n/a,2.58,n/a,JLIF News 26/01/2012,,
274,01/02/2012,Balfour Beatty plc,"North Lanarkshire Schools (Transform Schools (North Lanarkshire) Ltd, 21 schools",1,08/06/2005,Equitix Ltd,50,n/a,n/a,n/a,n/a,Equitix News 01/02/2012,,
275,16/02/2012,Morgan Sindall Group plc,Dorset Fire & Rescue,1,01/07/2007,HICL Infrastructure Company,33.5,3.8,n/a,4.58,n/a,HICL RNS 16/02/2012,Morgan Sindall RNS 16 February 2012,
276,23/02/2012,Costain Group plc,Bradford BSF Schools (Integrated Bradford Holdco Two Ltd) ,2,01/09/2009,Costain Pension Scheme,29,20.3,10.2,2.54,39.8,Costain RNS 23/02/2012,,
276,23/02/2012,Costain Group plc,Lewisham BSF (Lewisham Schools For the Future Holdings 2 Ltd),,23/06/2009,Costain Pension Scheme,40,see above,see above,see above,see above,Costain RNS 23/02/2012,,
277,23/03/2012,n/a,London Underground Connect (CityLink Telecommunications Ltd),1,17/11/1999,HICL Infrastructure Company,19.5,39,n/a,13.33,n/a,HICL AR 2012 p17,,
278,29/03/2012,Bilfinger Berger,Kent Grouped Schools ,7,09/10/2005,Bilfinger Berger Global Infrastructure,50,81.5 for 13 assets,n/a,n/a,n/a,BBGI RNS 29/03/2012,"(data includes 6 assets in Canada, Australia and Germany)",
278,29/03/2012,Bilfinger Berger,Mid-Bedfordshire Upper Schools,,22/12/2003,Bilfinger Berger Global Infrastructure,100,see above,n/a,n/a,n/a,BBGI RNS 29/03/2012,"(data includes 6 assets in Canada, Australia and Germany)",
278,29/03/2012,Bilfinger Berger,Scottish Borders Schools,,07/02/2007,Bilfinger Berger Global Infrastructure,75,see above,n/a,n/a,n/a,BBGI RNS 29/03/2012,"(data includes 6 assets in Canada, Australia and Germany)",
278,29/03/2012,Bilfinger Berger,Clackmannanshire Secondary School Estate,,14/03/2007,Bilfinger Berger Global Infrastructure,100,see above,n/a,n/a,n/a,BBGI RNS 29/03/2012,"(data includes 6 assets in Canada, Australia and Germany)",
278,29/03/2012,Bilfinger Berger,Liverpool & Sefton Clinics (LIFT Tranche 1a),,18/06/2004,Bilfinger Berger Global Infrastructure,26.7,see above,n/a,n/a,n/a,BBGI RNS 29/03/2012,"(data includes 6 assets in Canada, Australia and Germany)",
278,29/03/2012,Bilfinger Berger,Gloucester Royal Hospital,,01/05/2002,Bilfinger Berger Global Infrastructure,50,see above,n/a,n/a,n/a,BBGI RNS 29/03/2012,"(data includes 6 assets in Canada, Australia and Germany)",
278,29/03/2012,Bilfinger Berger,"Barnet, Enfield & Haringey Clinics (LIFT, Tranche 1a).",,14/07/2004,Bilfinger Berger Global Infrastructure,26.7,see above,n/a,n/a,n/a,BBGI RNS 29/03/2012,"(data includes 6 assets in Canada, Australia and Germany)",
279,19/04/2012,Carillion Private Finance and State Street Global Advisers,"Cleadon Park Health Centre, South Shields (South Tyneside Council and Gateshead Council BSF1 LEP)",1,21/12/2007,Equitix Ltd,100,n/a,n/a,4.52,n/a,Equitix News 19/04/2012,,
280,02/05/2012,Graham Investment Projects Ltd,"East Down Colleges, Northern Ireland",2,17/04/2008,Bilfinger Berger Global Infrastructure,16.6,2.5,n/a,n/a,n/a,BBGI RNS 02/05/2012,,
280,02/05/2012,Graham Investment Projects Ltd,"Lisburn College, Northern Ireland",,01/04/2008,Bilfinger Berger Global Infrastructure,50,2.5,n/a,n/a,n/a,BBGI RNS 02/05/2012,,
281,02/05/2012,Graham Investment Projects Ltd,Colchester Garrison (RMPA Holdings),1,09/02/2004,HICL Infrastructure Company,14,15,n/a,8.25,n/a,HICL RNS 08/05/2012,HICL AR 2012 p17,
282,17/05/2012,John Laing (Henderson Global Investors),Newcastle Hospitals Transformation PFI,1,27/04/2005,John Laing Infrastructure Fund,15.9,9.4,n/a,7.08,n/a,JLIF News 17/05/2012,,
283,21/05/2012,Royal Bank Project Investments,"Birmingham New Hospitals, University Hospital Birmingham NHS Foundation Trust",1,14/06/2006,HICL Infrastructure Company,30,34.6,n/a,5.92,n/a,HICL RNS 21/05/2012,,
284,21/06/2012,Interserve plc,University College London Hospital,1,12/07/2000,CFIG Unicorn Holdings managed by Credit Suisse’s Customised Fund Investment Group,16.7 and option to acquire ,35,30,11.92,50.3,Interserve RNS 21/06/2012,Construction Index 06/08/2012,
285,21/06/2012,Balfour Beatty plc,University College London Hospital,1,12/07/2000,Interserve plc and CFIG Unicorn Holdings managed by Credit Suisse’s Customised Fund Investment Group jointly acquire.,80% of Balfour Beatty 33.3 project stake,n/a,n/a,11.92,n/a,Interserve RNS 21/06/2012,,
286,02/07/2012,Carillion Private Finance,"Building Schools for the Future projects in Wolverhampton, Nottingham, Rochdale, Durham, South Tyneside and Gateshead, and Tameside (increased stake previously obtained via acquisition of BSF investmment in 2011)",8,n/a,International Public Partnerships,n/a,30.3,n/a,n/a,n/a,INPP New 02/07/2012,,
287,06/07/2012,Lend Lease Corporation,"Sheffield University Student Accommodation (4,000 beds)",1,n/a,Lend Lease UK Infrastructure Fund,50,n/a,n/a,n/a,n/a,Construction Enquirer 06/07/2012,,
288,09/07/2012,Eric Wright Group,"Whitegate Drive Health Centre, Blackpool",1,01/01/2008,HICL Infrastructure Company and Kajima Partnerships Ltd,100,2.9,n/a,4.5,n/a,HICL RNS 09/07/2012,,
289,11/07/2012,Graham Investment Projects Ltd,Scottish Borders PFI Schools,1,07/02/2007,Bilfinger Berger Global Infrastructure,25.0 (now 100.0),2.8,n/a,5.42,n/a,BBGI RNS 11/07/2012,,
290,20/07/2012,Morgan Sindall Group plc,"Investment in Community Solutions Investment Partners Ltd (CSIP) – 8 NHS LIFT areas with 36 buildings (Barnsley, Doncaster, Bury Tameside & Glossop, Camden & Islington, Solent and Plymouth, plus investments in Bradford & Airedale and West Sussex LIFTCos",1,n/a,Equitix Healthcare Ltd,50,23.9,n/a,n/a,n/a,Morgan Sindall RNS 23/07/2012,Infrapppworld 27/07/2012,Equitix News 20/072012
291,23/07/2012,Morgan Sindall Group plc,Investment in CSPC 3PD Ltd – 31 health centres,1,n/a,MedicX Properties Vll Ltd (MedicX Fund Ltd),50,n/a,n/a,n/a,n/a,Morgan Sindall RNS 23/07/2012,Infrapppworld 27/07/2012,
292,23/07/2012,Barclays Infrastructure Fund ll,Community Solutions Management Services Ltd (CSMS),1,n/a,Morgan Sindall (now has 100%),50,n/a,n/a,n/a,n/a,Morgan Sindall RNS 23/07/2012,Infrapppworld 27/07/2012,
293,23/07/2012,Barclays Infrastructure Fund ll,"Investment in Community Solutions Investment Partners Ltd (CSIP) – 8 NHS LIFT areas with 36 buildings (Barnsley, Doncaster, Bury Tameside & Glossop, Camden & Islington, Solent and Plymouth, plus investments in Bradford & Airedale and West Sussex LIFTCos",8,n/a,Equitix Healthcare Ltd,50,n/a,n/a,n/a,n/a,Morgan Sindall RNS 23/07/2012,Equitix News 20/07/2012,
294,24/07/2012,Cyril Sweett Investments,Inverclyde Schools (E4i Holdings),1,24/10/2008,Equitix Ltd,19,2.2,0.85,3.75,16.8,Sweett Group RNS 24/01/2012,Equitix News 26/07/2012,
295,26/07/2012,Miller Group,Inverclyde Schools (E4i Holdings),1,24/10/2008,Equitix Ltd,41,n/a,n/a,3.75,n/a,Equitix News 26/07/2012,,
296,28/08/2012,Sodexho,Romford Hospital,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
296,28/08/2012,Sodexho,"Fife Schools, Scotland",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
296,28/08/2012,Sodexho,Exeter Crown Courts,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
296,28/08/2012,Sodexho,Stoke Mandeville,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
297,07/09/2012,Barclays European Infrastructure Fund,"Primaria Ltd, shareholder in Community Venture z Ltd, LIFT project",1,n/a,Equitix Ltd,50,n/a,n/a,n/a,n/a,Equitix News 7/09/2012,,
298,07/09/2012,Miller Holdings,"Primaria Ltd, shareholder in Community Venture Leeds Ltd, LIFT project",1,n/a,Equitix Ltd,50,n/a,n/a,n/a,n/a,Equitix News 7/09/2012,,
299,19/09/2012,Cyril Sweett Investments,Plymouth LIFT Co,1,n/a,JV UK Company Ltd,19,0.7,n/a,n/a,n/a,Sweett RNS 19/09/2012,,
300,28/09/2012,Skanska,University Hospitals Coventry,3,n/a,Innisfree Ltd,30,66,n/a,n/a,n/a,Skanska Press 28/09/2012,,
300,28/09/2012,Skanska,Royal Derby Hospital,,n/a,Innisfree Ltd,30,see above,n/a,n/a,n/a,Skanska Press 28/09/2012,,
300,28/09/2012,Skanska,Sherwood Forest Hospitals,,n/a,Innisfree Ltd,50,see above,n/a,n/a,n/a,Skanska Press 28/09/2012,,
301,01/10/2012,Carden Croft & Co,Dorset Fire $ Rescue PFI project,1,01/07/2007,HICL Infrastructure,33,4.9,n/a,5.25,n/a,HICL RNS 01/10/2012,,
302,01/10/2012,Galliford Try Investments,"Ealing Care Homes, London",1,31/03/2005,HICL Infrastructure,16,see above,n/a,7.58,n/a,HICL RNS 01/10/2012,,
303,10/10/2012,Skanska,Walsall Manor Hospital,1,20/11/2007,Barclays Infrastructure Funds,50,17,n/a,4.92,n/a,Skanska News 10/10/2012,,
304,12/10/2012,John Laing,Forth Valley Royal Hospital,1,15/05/2007,John Laing Infrastructure Fund,50,30,n/a,5.42,n/a,JLIF Press 12/10/2012,,
305,15/10/2012,John Laing,"Pembury Hospital, Tunbridge Wells John Laing Health (Pembury) Ltd which owns 75% of Kent & East Sussex Weald Hospital Holdings Ltd.",1,26/03/2008,John Laing Infrastructure Fund,37.5,22,n/a,4.58,n/a,JLIF 15/10/2012,,
306,15/10/2012,Kier Group plc,Bournemouth Library,1,01/08/2000,Equitix Education 2 Ltd,50,5.5,n/a,12.17,n/a,Kier RNS 94610 18/10/2012,,
307,18/10/2012,Kier Group plc,Greenwich Neighbourhood Resource Centre,1,27/09/2002,Santuary Housing Association,50,n/a,n/a,10.08,n/a,Kier RNS 94610 18/10/2012,,
308,19/10/2012,Barclays European Infrastructure Fund ll,Prime LIFT Investments Limited (60% interest in Birmingham & Solihull LIFTCo and Staffordshire LIFTCo),1,n/a,HICL Infrastructure Company,50,33.75,n/a,n/a,n/a,"HICL RNS 0512P, 19/10/2012",,
309,19/10/2012,Barclays European Infrastructure Fund ll,London Underground Connect (CityLink Telecommunications Ltd),1,17/11/1999,HICL Infrastructure Company,9,see above,n/a,n/a,n/a,"HICL RNS 0512P, 19/10/2012",,
